"steer","accel","brake","gear","speedX","speedY","speedZ","wheelSpinVel","z","track","trackPos","angle","rpm","damage","distFromStart"
"0.0","0.9999436094777306","0.0","3","71.4766","0.00780668","0.932214","[65.4555, 65.4093, 66.4749, 66.4749]","0.289253","[4.40593, 9.55458, 16.416, 52.827, 200.0, 191.326, 178.714, 150.828, 133.26, 119.366, 108.102, 98.7885, 88.1653, 78.5287, 65.2016, 48.7581, 34.4849, 24.6929, 12.5777]","0.46491","-0.0410572","6884.14","0.0","13.0416"
"0.0","0.9999436094777306","0.0","3","72.2054","0.00796039","0.9853","[66.1258, 66.0845, 67.4373, 67.4373]","0.289207","[4.39306, 9.57779, 16.6062, 53.4791, 200.0, 190.966, 178.452, 150.758, 133.148, 119.23, 107.953, 98.6328, 88.006, 78.3706, 65.0518, 48.6286, 34.3826, 24.6142, 12.5693]","0.467827","-0.038361","6984.78","0.0","13.4886"
"0.0","0.9999436094777306","0.0","3","72.9384","0.00509944","1.01169","[66.7943, 66.7575, 68.491, 68.491]","0.28933","[4.38184, 9.6065, 16.8206, 54.1636, 200.0, 190.585, 178.154, 150.633, 132.992, 119.058, 107.775, 98.4513, 87.8264, 78.1962, 64.8901, 48.4923, 34.2766, 24.5333, 12.559]","0.470566","-0.0356127","7093.84","0.0","13.9403"
"0.0","0.9999436094777306","0.0","3","73.6813","0.00349207","1.0225","[67.4712, 67.436, 69.3971, 69.3971]","0.289495","[4.37233, 9.64083, 17.0606, 54.8651, 200.0, 190.19, 177.833, 150.473, 132.809, 118.864, 107.577, 98.2545, 87.6338, 78.0111, 64.7208, 48.3513, 34.1679, 24.451, 12.5467]","0.473124","-0.0328212","7186.95","0.0","14.3966"
"0.0","0.9999436094777306","0.0","3","74.4317","-0.000229492","1.06519","[68.1728, 68.1426, 70.2072, 70.2072]","0.289743","[4.36461, 9.68132, 17.3297, 55.5996, 200.0, 189.774, 177.48, 150.259, 132.582, 118.635, 107.35, 98.0329, 87.4212, 77.8098, 64.5401, 48.2036, 34.0555, 24.3666, 12.5324]","0.475492","-0.0299778","7270.19","0.0","14.8577"
"0.0","0.9999436094777306","0.0","3","75.1926","-0.00150089","1.11037","[68.8608, 68.834, 70.9216, 70.9216]","0.290222","[4.35872, 9.72834, 17.6102, 56.3649, 200.0, 189.339, 177.095, 149.993, 132.315, 118.373, 107.096, 97.7879, 87.19, 77.5933, 64.3487, 48.0494, 33.9397, 24.2802, 12.5161]","0.477666","-0.0270832","7343.8","0.0","15.3236"
"0.0","0.9999436094777306","0.0","3","75.9591","-0.00207631","1.14498","[69.5545, 69.5288, 71.648, 71.648]","0.290879","[4.35475, 9.78179, 17.8933, 57.1409, 200.0, 188.894, 176.698, 149.708, 132.032, 118.098, 106.831, 97.5337, 86.9504, 77.3704, 64.1522, 47.892, 33.822, 24.1927, 12.4978]","0.479637","-0.0241516","7419.15","0.0","15.7943"
"0.0","0.9999436094777306","0.0","3","76.7299","-0.00503926","1.16903","[70.2499, 70.2303, 72.3957, 72.3957]","0.291124","[4.35278, 9.84269, 18.182, 57.954, 200.0, 188.427, 176.266, 149.362, 131.702, 117.784, 106.534, 97.2519, 86.6896, 77.1299, 63.9433, 47.7276, 33.7004, 24.103, 12.4774]","0.481397","-0.0211649","7496.59","0.0","16.2699"
"0.0010996622609430833","0.9999436094777306","0.0","3","77.5058","-0.00563063","1.18278","[70.9505, 70.9351, 73.1562, 73.1562]","0.290498","[4.353, 9.91158, 18.4763, 58.8059, 200.0, 187.939, 175.801, 148.958, 131.325, 117.433, 106.206, 96.9447, 86.4075, 76.8724, 63.7225, 47.5559, 33.575, 24.0111, 12.4547]","0.482933","-0.0181239","7575.38","0.0","16.7503"
"0.025934458096101738","0.9999436094777306","0.0","4","78.2864","-0.00557058","1.18826","[71.658, 71.6442, 73.9339, 73.9339]","0.289848","[4.35536, 9.98842, 18.7741, 59.675, 200.0, 187.44, 175.32, 148.53, 130.929, 117.065, 105.864, 96.6258, 86.1158, 76.6071, 63.4957, 47.3804, 33.4473, 23.9179, 12.43]","0.484243","-0.0150432","7655.96","0.0","17.2357"
"0.34487181400244554","0.9999436094777306","0.0","4","78.5866","0.00713931","1.21393","[72.1972, 72.165, 69.2979, 69.2609]","0.289193","[4.35954, 10.0704, 19.0627, 60.439, 200.0, 186.985, 174.919, 148.258, 130.654, 116.794, 105.601, 96.3716, 85.8757, 76.3822, 63.2966, 47.22, 33.3266, 23.8279, 12.4042]","0.485326","-0.0120077","6216.59","0.0","17.7248"
"1.0","0.9999436094777306","0.0","4","78.5142","0.158783","1.26634","[72.2991, 71.9748, 69.4146, 69.0449]","0.288832","[4.35972, 10.1167, 19.1752, 59.506, 200.0, 187.295, 175.798, 150.633, 132.429, 118.159, 106.672, 97.2271, 86.5145, 76.8512, 63.5721, 47.3215, 33.3344, 23.8012, 12.3904]","0.486293","-0.0101019","6232.67","0.0","18.2141"
"-0.38820172962606864","0.9999436094777306","0.0","4","78.4533","0.406525","1.29201","[72.521, 71.5861, 69.845, 68.902]","0.28871","[4.34645, 10.0626, 18.8699, 55.0259, 200.0, 189.33, 179.186, 160.228, 139.715, 123.867, 111.256, 100.982, 89.4322, 79.1061, 65.0573, 48.083, 33.6619, 23.9314, 12.409]","0.487401","-0.0109474","5837.67","0.0","18.7029"
"0.01483645241676694","0.9999436094777306","0.0","4","78.7938","0.238831","1.30755","[72.7499, 71.7818, 71.9652, 71.9652]","0.288686","[4.32808, 9.97517, 18.4476, 50.3359, 200.0, 191.689, 182.65, 170.626, 150.004, 131.825, 117.584, 106.127, 93.3988, 82.1533, 67.0524, 49.1064, 34.1108, 24.1198, 12.4388]","0.488665","-0.0126634","6057.51","0.0","19.1926"
"0.0","0.9999436094777306","0.0","4","79.2621","0.141962","1.32566","[73.0523, 72.301, 72.3773, 72.3773]","0.288721","[4.31555, 9.93215, 18.2012, 47.5006, 200.0, 193.192, 184.771, 174.611, 158.757, 138.472, 122.792, 110.309, 96.5766, 84.5614, 68.5969, 49.8742, 34.4331, 24.2463, 12.4542]","0.489878","-0.0131539","6091.87","0.0","19.685"
"0.0","0.9999436094777306","0.0","4","79.7396","0.0890093","1.35937","[73.4183, 72.8052, 72.7926, 72.7926]","0.288857","[4.30659, 9.91454, 18.0453, 45.5536, 200.0, 194.238, 186.233, 177.034, 166.132, 144.362, 127.347, 113.928, 99.2931, 86.596, 69.8794, 50.4946, 34.6834, 24.338, 12.4612]","0.491035","-0.0129386","6127.0","0.0","20.1804"
